Date,YearMonth,VNIndex,CPI_YoY,DepositRate,NEER,FFR,OIL
2010-01-01,2010M01,481.96,7.622162840864344,10.49,17941.0,0.11,78.33
2010-02-01,2010M02,496.91,8.46254545077123,10.49,18544.0,0.13,76.39
2010-03-01,2010M03,499.24,9.462100111842165,10.49,18544.0,0.16,81.2
2010-04-01,2010M04,542.37,9.233031441951933,11.3,18544.0,0.2,84.29
2010-05-01,2010M05,507.44,9.04814877224731,11.5,18544.0,0.2,73.74
2010-06-01,2010M06,507.14,8.690258279011665,11.5,18544.0,0.18,75.34
2010-07-01,2010M07,493.91,8.192869512514012,11.2,18544.0,0.18,76.32
2010-08-01,2010M08,455.08,8.182076129681537,11.2,18932.0,0.19,76.6
2010-09-01,2010M09,454.52,8.923932942735435,11.2,18932.0,0.19,75.24
2010-10-01,2010M10,452.63,9.661885263160453,11.08,18932.0,0.19,81.89
2010-11-01,2010M11,451.59,11.09059803983612,12.0,18932.0,0.19,84.25
2010-12-01,2010M12,484.66,11.748068535238598,13.75,18932.0,0.18,89.15
2011-01-01,2011M01,510.6,12.167013543559335,14.0,18932.0,0.17,89.17
2011-02-01,2011M02,461.37,12.310027585935423,14.0,20673.0,0.16,88.58
2011-03-01,2011M03,461.13,13.892957999553591,14.0,20703.0,0.14,102.86
2011-04-01,2011M04,480.08,17.50969063824519,14.0,20698.0,0.1,109.53
2011-05-01,2011M05,421.37,19.783240053206775,14.0,20643.0,0.09,100.9
2011-06-01,2011M06,432.54,20.82306662321567,14.0,20618.0,0.09,96.26
2011-07-01,2011M07,405.7,22.163398463629115,14.0,20608.0,0.07,97.3
2011-08-01,2011M08,424.71,23.01657993548927,14.0,20628.0,0.1,86.33
2011-09-01,2011M09,427.6,22.421593022367237,14.0,20628.0,0.08,85.52
2011-10-01,2011M10,420.81,21.585661313456473,14.0,20803.0,0.07,86.32
2011-11-01,2011M11,380.69,19.83098899723048,14.0,20803.0,0.08,97.16
2011-12-01,2011M12,351.55,18.12717517053912,14.0,20828.0,0.07,98.56
2012-01-01,2012M01,387.97,17.26798400063352,14.0,20828.0,0.08,100.27
2012-02-01,2012M02,423.64,16.44093974085825,14.0,20828.0,0.1,102.2
2012-03-01,2012M03,441.03,14.150186203820713,13.0,20828.0,0.13,106.16
2012-04-01,2012M04,473.77,10.53741898656857,12.25,20828.0,0.14,103.32
2012-05-01,2012M05,429.2,8.342027532280994,12.0,20828.0,0.16,94.66
2012-06-01,2012M06,422.37,6.895180790085109,11.5,20828.0,0.16,82.3
2012-07-01,2012M07,414.48,5.3525598159472665,12.0,20828.0,0.16,87.9
2012-08-01,2012M08,396.02,5.039414388970309,12.0,20828.0,0.13,94.13
2012-09-01,2012M09,392.57,6.477168722007187,12.33,20828.0,0.14,94.51
2012-10-01,2012M10,388.42,6.9970353289599885,13.0,20828.0,0.16,89.49
2012-11-01,2012M11,377.82,7.0823004233550035,12.25,20828.0,0.16,86.53
2012-12-01,2012M12,413.73,6.805354256936291,11.75,20828.0,0.16,87.86
2013-01-01,2013M01,479.79,7.069723945691075,12.0,20828.0,0.14,94.76
2013-02-01,2013M02,474.56,7.016912599165592,12.0,20828.0,0.15,95.31
2013-03-01,2013M03,491.04,6.6429517424392515,11.2,20828.0,0.14,92.94
2013-04-01,2013M04,474.51,6.6109748453650585,10.5,20828.0,0.15,92.02
2013-05-01,2013M05,518.39,6.355568237630105,11.0,20828.0,0.11,94.51
2013-06-01,2013M06,481.13,6.686129959643994,10.0,21036.0,0.09,95.77
2013-07-01,2013M07,491.85,7.28530990927192,9.0,21036.0,0.09,104.67
2013-08-01,2013M08,472.7,7.498537197176658,9.0,21036.0,0.08,106.57
2013-09-01,2013M09,492.63,6.299434140378413,9.0,21036.0,0.08,106.29
2013-10-01,2013M10,497.41,5.919981524706253,9.0,21036.0,0.09,100.54
2013-11-01,2013M11,507.78,5.782929692336292,8.62,21036.0,0.08,93.86
2013-12-01,2013M12,504.63,6.036125096008016,8.5,21036.0,0.09,97.63
2014-01-01,2014M01,556.52,5.449653688069578,8.5,21036.0,0.07,94.62
2014-02-01,2014M02,586.48,4.648269624313062,8.5,21036.0,0.07,100.82
2014-03-01,2014M03,591.57,4.386150924723076,8.3,21036.0,0.08,100.8
2014-04-01,2014M04,578.0,4.448770091444532,8.3,21036.0,0.09,102.07
2014-05-01,2014M05,562.02,4.720499931586386,8.3,21036.0,0.09,102.18
2014-06-01,2014M06,578.13,4.982170346208026,8.3,21246.0,0.1,105.79
2014-07-01,2014M07,596.07,4.940290553509841,8.3,21246.0,0.09,103.59
2014-08-01,2014M08,636.65,4.305424172099137,8.0,21246.0,0.09,96.54
2014-09-01,2014M09,598.8,3.6242290409534306,7.8,21246.0,0.09,93.21
2014-10-01,2014M10,600.84,3.2323770453761558,7.5,21246.0,0.09,84.4
2014-11-01,2014M11,566.58,2.6047933300315407,7.5,21246.0,0.09,75.79
2014-12-01,2014M12,545.63,1.8391620993328583,7.5,21246.0,0.12,59.29
2015-01-01,2015M01,576.07,0.9390046430968413,7.3,21485.0,0.11,47.22
2015-02-01,2015M02,592.57,0.3366833821733417,7.97,21485.0,0.11,50.58
2015-03-01,2015M03,551.13,0.9312860659367095,7.2,21485.0,0.11,47.82
2015-04-01,2015M04,562.4,0.9917964292856407,7.2,21485.0,0.12,54.45
2015-05-01,2015M05,569.56,0.9514803428867236,7.2,21673.0,0.12,59.27
2015-06-01,2015M06,593.05,1.0018051087605562,7.2,21673.0,0.13,59.82
2015-07-01,2015M07,621.06,0.90103507473005,7.2,21890.0,0.13,50.9
2015-08-01,2015M08,564.75,0.6090644084790986,7.2,21890.0,0.14,42.87
2015-09-01,2015M09,562.64,-0.0022058035644589857,7.2,21890.0,0.14,45.48
2015-10-01,2015M10,607.37,-0.002205803564470088,7.2,21890.0,0.12,46.22
2015-11-01,2015M11,573.2,0.3387071617096282,7.2,21890.0,0.12,42.44
2015-12-01,2015M12,579.03,0.6002154201503407,7.2,21890.0,0.24,37.19
2016-01-01,2016M01,545.25,0.8018190582668616,7.2,21881.0,0.34,31.68
2016-02-01,2016M02,559.37,1.2758246106168825,7.26,21914.0,0.38,30.32
2016-03-01,2016M03,561.22,1.700545991909519,7.2,21857.0,0.36,37.55
2016-04-01,2016M04,598.37,1.8935068840451708,7.2,21842.0,0.37,40.75
2016-05-01,2016M05,618.44,2.28008368731929,7.2,21939.0,0.37,46.71
2016-06-01,2016M06,632.26,2.3921993744703274,7.2,21873.0,0.38,48.76
2016-07-01,2016M07,652.23,2.392199374470305,7.2,21862.0,0.39,44.65
2016-08-01,2016M08,674.63,2.5663880454765975,7.21,21921.0,0.4,44.72
2016-09-01,2016M09,685.73,3.3372547759516813,7.2,21949.0,0.4,45.18
2016-10-01,2016M10,675.8,4.0804654785656425,7.2,22039.0,0.4,49.78
2016-11-01,2016M11,665.07,4.506896885043243,7.2,22118.0,0.41,45.66
2016-12-01,2016M12,664.87,4.72631748438197,7.2,22159.0,0.54,51.97
2017-01-01,2017M01,697.28,5.2080585448101235,7.21,22202.0,0.65,52.5
2017-02-01,2017M02,710.79,5.008999282476756,7.21,22232.0,0.66,53.47
2017-03-01,2017M03,722.31,4.633109457064699,7.2,22276.0,0.79,49.33
2017-04-01,2017M04,717.73,4.288955902586156,7.2,22350.0,0.9,51.06
2017-05-01,2017M05,737.82,3.179057525663853,7.2,22396.0,0.91,48.48
2017-06-01,2017M06,776.47,2.532005900726908,7.2,22431.0,1.04,45.18
2017-07-01,2017M07,783.55,2.5115261232575126,7.2,22432.0,1.15,46.63
2017-08-01,2017M08,782.76,3.351280882708818,7.2,22443.0,1.16,48.04
2017-09-01,2017M09,804.42,3.402678973460116,7.2,22470.0,1.15,49.82
2017-10-01,2017M10,837.28,2.9719626671142363,7.2,22471.0,1.15,51.58
2017-11-01,2017M11,949.93,2.6132824627601803,7.22,22433.0,1.16,56.64
2017-12-01,2017M12,984.24,2.5928069000618503,7.3,22425.0,1.3,57.88
2018-01-01,2018M01,1110.36,2.643868420517803,7.3,22441.0,1.41,63.7
2018-02-01,2018M02,1121.54,3.155910066833889,7.3,22463.0,1.42,62.23
2018-03-01,2018M03,1174.46,2.661799331058212,7.3,22458.0,1.51,62.73
2018-04-01,2018M04,1050.26,2.743928770523052,7.3,22539.0,1.69,66.25
2018-05-01,2018M05,971.25,3.8594755994379337,7.3,22595.0,1.7,69.98
2018-06-01,2018M06,960.78,4.670959030947142,7.3,22650.0,1.82,67.87
2018-07-01,2018M07,956.39,4.461847135969665,7.3,22669.0,1.91,70.98
2018-08-01,2018M08,989.54,3.975352207770033,7.3,22678.0,1.91,68.06
2018-09-01,2018M09,1017.13,3.975352207770033,7.3,22714.0,1.95,70.23
2018-10-01,2018M10,914.76,3.892511572607993,7.3,22726.0,2.19,70.75
